"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"With Irish children welcoming him by reciting Sanskrit shlokas, Prime Minister Narendra Modi on Wednesday took...  http://t.co/sPRI48m0MB",FALSE,0,NA,2015-09-23 17:32:42,FALSE,NA,"646738978280902656",NA,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","acrossUpdate",0,FALSE,FALSE,NA,NA
"Prime Minister Narendra Modi on Wednesday connected with a rapturous Indian diaspora in Dublin, promising more...  http://t.co/sPRI484pV3",FALSE,0,NA,2015-09-23 17:32:42,FALSE,NA,"646738977010098176",NA,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","acrossUpdate",0,FALSE,FALSE,NA,NA
"RT @KiranKS: Once Pappu returns after meeting ""Global leaders"", he would term Modi govt as T-shirt ki sarkar :)

#ModiInIreland http://t.co…",FALSE,0,NA,2015-09-23 17:32:42,FALSE,NA,"646738975948951553",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","maxxhoster",55,TRUE,FALSE,NA,NA
"RT @Babu_Bhaiyaa: Respected Barkha Dutt ji in US to cover Modi's visit...It reminds me of this tweet...
https://t.co/ewiiQr40w1",FALSE,0,NA,2015-09-23 17:32:42,FALSE,NA,"646738975319719936",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","arunbtgbd",62,TRUE,FALSE,NA,NA
"RT @RavibhusariBJP: Proud moment for Bharat. Irish children welcome Modi ji with Sanskrit songs.
Vasudhaiva Kutumbakam! 
#ModiInIreland htt…",FALSE,0,NA,2015-09-23 17:32:41,FALSE,NA,"646738970827694081",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Bm2001Brij",60,TRUE,FALSE,NA,NA
"Seems like all Arvind Kejriwal and Sardesai want is a reply from Modi. That day would be the day of Nirvana for them.",FALSE,5,NA,2015-09-23 17:32:40,FALSE,NA,"646738969061888000",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Alllahdin",4,FALSE,FALSE,NA,NA
"#FollowBack Irish children recite shlokas and Modi’s Dublin event, PM takes dig at secularists  #TeamFollowBack",FALSE,0,NA,2015-09-23 17:32:40,FALSE,NA,"646738968801775616",NA,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","HishaRao",0,FALSE,FALSE,NA,NA
"Youth Survey 2015 | Rahul Gandhi who? Narendra Modi biggest youth icon http://t.co/07iQHD4gUb",FALSE,0,NA,2015-09-23 17:32:40,FALSE,NA,"646738968164364292",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","aniveshagrawal",0,FALSE,FALSE,NA,NA
"#FollowBack PM Modi connects with Indian diaspora in Ireland, promises more visits  #TeamFollowBack",FALSE,0,NA,2015-09-23 17:32:40,FALSE,NA,"646738967598133248",NA,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","HishaRao",0,FALSE,FALSE,NA,NA
"#FollowBack Irish children recite shlokas and Modi’s Dublin event, PM takes dig at secularists  #TeamFollowBack",FALSE,0,NA,2015-09-23 17:32:40,FALSE,NA,"646738966813630464",NA,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","MeherSinha",0,FALSE,FALSE,NA,NA
